,店铺名字,类别,poiid,ctPoi,经度,纬度
0,TANING挞柠·匠心柠檬茶（水荫路店）,奶茶/果汁,180584081,059343649361170105379968473281275637644_a180584081_c0_e2745027750983486858_nareaid23,23.136219,113.30932
1,CoCo都可（水茵店）,奶茶/果汁,159535375,059343649361170105379968473281275637644_a159535375_c1_e2745027750983486858_nareaid23,23.13654,113.30921
2,猫主题餐厅·就是这样的喵（越秀店）,咖啡厅,90908955,212694389445929981677987618170992643733_a90908955_c2_e2745027750983486858_v4728981450780790995__124_nareaid23,23.121164,113.266229
3,本宫的茶（289艺术园店）,奶茶/果汁,93883380,059343649361170105379968473281275637644_a93883380_c3_e2745027750983486858_nareaid23,23.123674,113.314119
4,CoCo都可（中山一路店）,奶茶/果汁,194273609,059343649361170105379968473281275637644_a194273609_c4_e2745027750983486858_nareaid23,23.128667,113.312378
5,TANING挞柠·匠心柠檬茶（杨箕店）,奶茶/果汁,189690773,059343649361170105379968473281275637644_a189690773_c5_e2745027750983486858_nareaid23,23.128279,113.308034
6,一些柠檬一些茶（东华东店）,奶茶/果汁,177727401,059343649361170105379968473281275637644_a177727401_c6_e2745027750983486858_nareaid23,23.12152,113.288811
7,COFFii & JOY咖啡（白云宾馆店）,咖啡厅,192771332,212694389445929981677987618170992643733_a192771332_c7_e2745027750983486858_v4728981450780790995__191_nareaid23,23.137474,113.286103
8,大佬峰巴士（中华广场店）,奶茶/果汁,89538765,059343649361170105379968473281275637644_a89538765_c8_e2745027750983486858_nareaid23,23.126348,113.282741
9,新作的茶 SUN TEA（杨箕店）,奶茶/果汁,170629803,059343649361170105379968473281275637644_a170629803_c9_e2745027750983486858_nareaid23,23.126716,113.313532
10,饮野,奶茶/果汁,169079075,059343649361170105379968473281275637644_a169079075_c10_e2745027750983486858_nareaid23,23.134994,113.270573
11,茶茶语茶,奶茶/果汁,165123452,059343649361170105379968473281275637644_a165123452_c11_e2745027750983486858_nareaid23,23.13429,113.287508
12,萌爪研究所·布偶主题猫咖,咖啡厅,195919685,212694389445929981677987618170992643733_a195919685_c12_e2745027750983486858_v4728981450780790995__207_nareaid23,23.115957,113.26725
13,一些柠檬一些茶（中华广场店）,奶茶/果汁,169194959,059343649361170105379968473281275637644_a169194959_c13_e2745027750983486858_nareaid23,23.123717,113.283394
14,Hi-Tea茶室（289创意园店）,奶茶/果汁,158811806,059343649361170105379968473281275637644_a158811806_c14_e2745027750983486858_nareaid23,23.123612,113.314288
15,CoCo都可（杨箕店）,奶茶/果汁,184491509,059343649361170105379968473281275637644_a184491509_c0_e2745027750983486858_nareaid23,23.13153,113.308016
16,TANING挞柠（五羊新城店）,奶茶/果汁,181312151,059343649361170105379968473281275637644_a181312151_c1_e2745027750983486858_nareaid23,23.120649,113.314327
17,TANING挞柠（光明广场店）,奶茶/果汁,1891285900,212694389445929981677987618170992643733_a1891285900_c2_e2745027750983486858_v4728981458364059203__1000_nareaid23,23.122938,113.267192
18,CoCo都可（五羊店）,奶茶/果汁,6325371,059343649361170105379968473281275637644_a6325371_c3_e2745027750983486858_nareaid23,23.120053,113.309776
19,DQ（中华广场店）,冰淇淋,5168455,059343649361170105379968473281275637644_a5168455_c4_e2745027750983486858_nareaid23,23.126312,113.282791
20,CoCo都可（五羊二店）,奶茶/果汁,187893654,059343649361170105379968473281275637644_a187893654_c5_e2745027750983486858_nareaid23,23.118503,113.30992
21,猫出没（中山三路店）,咖啡厅,106728419,059343649361170105379968473281275637644_a106728419_c6_e2745027750983486858_nareaid23,23.127454,113.285602
22,苏子·法式咖啡厅·花房美学院,咖啡厅,1957607530,212694389445929981677987618170992643733_a1957607530_c7_e2745027750983486858_v4728981458364059203__1000_nareaid23,23.124291,113.31251
23,CoCo都可（区庄店）,奶茶/果汁,189790274,059343649361170105379968473281275637644_a189790274_c8_e2745027750983486858_nareaid23,23.136285,113.293937
24,BAUZES百滋·甘草水果（五羊店）,奶茶/果汁,177682893,059343649361170105379968473281275637644_a177682893_c9_e2745027750983486858_nareaid23,23.119425,113.313116
25,CoCo都可（东山二店）,奶茶/果汁,157742423,059343649361170105379968473281275637644_a157742423_c10_e2745027750983486858_nareaid23,23.129183,113.297118
26,悟茶（杨箕店）,奶茶/果汁,174894170,059343649361170105379968473281275637644_a174894170_c11_e2745027750983486858_nareaid23,23.126685,113.312669
27,悦咖.精品咖啡屋（信德店）,咖啡厅,178776275,212694389445929981677987618170992643733_a178776275_c12_e2745027750983486858_v4728981458364059203__1000_nareaid23,23.126519,113.271456
28,CoCo都可（东山店）,奶茶/果汁,41919676,059343649361170105379968473281275637644_a41919676_c13_e2745027750983486858_nareaid23,23.125305,113.295556
29,咕噜咕噜（中山四路店）,奶茶/果汁,95814307,059343649361170105379968473281275637644_a95814307_c14_e2745027750983486858_nareaid23,23.12658,113.2736
30,CoCo都可（淘金店）,奶茶/果汁,1710078,059343649361170105379968473281275637644_a1710078_c0_e2745027750983486858_nareaid23,23.139994,113.288046
31,los pasteles,奶茶/果汁,1341603491,059343649361170105379968473281275637644_a1341603491_c1_e2745027750983486858_nareaid23,23.125811,113.313751
32,Glory Coffee 荣光咖啡,咖啡厅,195569374,212694389445929981677987618170992643733_a195569374_c2_e2745027750983486858_v4728981464487768097__56_nareaid23,23.122035,113.312613
33,CoCo都可（第七中学店）,奶茶/果汁,184837556,059343649361170105379968473281275637644_a184837556_c3_e2745027750983486858_nareaid23,23.12111,113.296653
34,熹雀冰室（共和大街店）,奶茶/果汁,164893924,059343649361170105379968473281275637644_a164893924_c4_e2745027750983486858_nareaid23,23.124687,113.306728
35,CoCo都可（署前店）,奶茶/果汁,172466460,059343649361170105379968473281275637644_a172466460_c5_e2745027750983486858_nareaid23,23.122029,113.294651
36,桃记,奶茶/果汁,175525827,059343649361170105379968473281275637644_a175525827_c6_e2745027750983486858_nareaid23,23.14211,113.277575
37,Catmate·猫肥家润,咖啡厅,191498978,212694389445929981677987618170992643733_a191498978_c7_e2745027750983486858_v4728981464487768097__1000_nareaid23,23.119007,113.272689
38,CoCo都可（地王广场店）,奶茶/果汁,193888372,059343649361170105379968473281275637644_a193888372_c8_e2745027750983486858_nareaid23,23.12612,113.283886
39,TANING挞柠·柠檬茶（区庄店）,奶茶/果汁,195156613,059343649361170105379968473281275637644_a195156613_c9_e2745027750983486858_nareaid23,23.13485,113.29551
40,Miss Tea茶小姐（华乐路店）,奶茶/果汁,165412825,059343649361170105379968473281275637644_a165412825_c10_e2745027750983486858_nareaid23,23.133906,113.288256
41,橘菓子（中华广场店）,奶茶/果汁,2627865,059343649361170105379968473281275637644_a2627865_c11_e2745027750983486858_nareaid23,23.126456,113.282682
42,阿橙姐·鲜打果汁,饮品店,190758557,212694389445929981677987618170992643733_a190758557_c12_e2745027750983486858_v4728981464487768097__83_nareaid23,23.140317,113.288269
43,montea檬茶（中山四路店）,奶茶/果汁,162978537,059343649361170105379968473281275637644_a162978537_c13_e2745027750983486858_nareaid23,23.126128,113.27351
44,半里Mocha甜厨,咖啡厅,164799150,059343649361170105379968473281275637644_a164799150_c14_e2745027750983486858_nareaid23,23.125405,113.29582
45,太平洋咖啡（寺右新马路店）,咖啡厅,42904455,059343649361170105379968473281275637644_a42904455_c0_e2745027750983486858_nareaid23,23.119522,113.308858
46,茶掂·TG（东华西路店）,奶茶/果汁,165748626,059343649361170105379968473281275637644_a165748626_c1_e2745027750983486858_nareaid23,23.122043,113.279884
47,PlaySERIOUS Cafe·逵园,咖啡厅,1710804,059343649361170105379968473281275637644_a1710804_c2_e2745027750983486858_nareaid23,23.11918,113.29646
48,MAXPOINT Cafe,咖啡厅,97081465,059343649361170105379968473281275637644_a97081465_c3_e2745027750983486858_nareaid23,23.137294,113.287185
49,Darling咑柠茶档（白云路店）,奶茶/果汁,175471794,059343649361170105379968473281275637644_a175471794_c4_e2745027750983486858_nareaid23,23.11949,113.281667
50,HappyMeet（地王广场店）,饮品店,103516653,059343649361170105379968473281275637644_a103516653_c5_e2745027750983486858_nareaid23,23.125776,113.283516
51,TANING挞柠·匠心柠檬茶（建设六马路店）,奶茶/果汁,184785621,059343649361170105379968473281275637644_a184785621_c6_e2745027750983486858_nareaid23,23.134376,113.285038
52,贡茶（杨箕店）,奶茶/果汁,159079688,059343649361170105379968473281275637644_a159079688_c7_e2745027750983486858_nareaid23,23.128674,113.308684
53,TANING挞柠·匠心柠檬茶（中华广场店）,奶茶/果汁,164304439,059343649361170105379968473281275637644_a164304439_c8_e2745027750983486858_nareaid23,23.126718,113.282308
54,大葱柠檬茶scallionlemontea（中华广场店）,奶茶/果汁,160216931,059343649361170105379968473281275637644_a160216931_c9_e2745027750983486858_nareaid23,23.1238,113.28496
55,一杯时光音乐馆,咖啡厅,1710459,059343649361170105379968473281275637644_a1710459_c10_e2745027750983486858_nareaid23,23.134626,113.291693
56,愿茶（杨箕店）,奶茶/果汁,174858478,059343649361170105379968473281275637644_a174858478_c11_e2745027750983486858_nareaid23,23.126295,113.313234
57,CoCo都可（中华广场店）,奶茶/果汁,4949647,059343649361170105379968473281275637644_a4949647_c12_e2745027750983486858_nareaid23,23.12631,113.28293
58,嘻柚heyo,饮品店,184178080,059343649361170105379968473281275637644_a184178080_c13_e2745027750983486858_nareaid23,23.116648,113.279596
59,CoCo都可（小北二店）,奶茶/果汁,160763371,059343649361170105379968473281275637644_a160763371_c14_e2745027750983486858_nareaid23,23.13922,113.276611
60,王子拉茶（华乐店）,奶茶/果汁,51134949,059343649361170105379968473281275637644_a51134949_c0_e2745027750983486858_nareaid23,23.13419,113.28794
61,Hi tea茶室（龟岗店）,奶茶/果汁,164920185,059343649361170105379968473281275637644_a164920185_c1_e2745027750983486858_nareaid23,23.119898,113.294343
62,云上咖啡·艺术会馆,咖啡厅,2558622,059343649361170105379968473281275637644_a2558622_c2_e2745027750983486858_nareaid23,23.120545,113.293162
63,环悦艺术空间（东山口店）,咖啡厅,163595551,059343649361170105379968473281275637644_a163595551_c3_e2745027750983486858_nareaid23,23.121888,113.293329
64,十号咖啡馆ten cafe,咖啡厅,619457,059343649361170105379968473281275637644_a619457_c4_e2745027750983486858_nareaid23,23.120975,113.299025
65,ASKTEA·问茶（淘金店）,奶茶/果汁,193166592,059343649361170105379968473281275637644_a193166592_c5_e2745027750983486858_nareaid23,23.138851,113.287895
66,熹雀冰室（东山店）,饮品店,163018441,059343649361170105379968473281275637644_a163018441_c6_e2745027750983486858_nareaid23,23.122405,113.29436
67,新作の茶（东山口店）,奶茶/果汁,184612288,059343649361170105379968473281275637644_a184612288_c7_e2745027750983486858_nareaid23,23.125367,113.295818
68,Triple six茶饮研究所,奶茶/果汁,163110219,059343649361170105379968473281275637644_a163110219_c8_e2745027750983486858_nareaid23,23.133884,113.282818
69,O tea,饮品店,157179418,059343649361170105379968473281275637644_a157179418_c9_e2745027750983486858_nareaid23,23.135846,113.306536
70,大葱柠檬茶scallionlemontea（北京路店）,奶茶/果汁,165505016,059343649361170105379968473281275637644_a165505016_c10_e2745027750983486858_nareaid23,23.122818,113.274909
71,CoCo都可（农讲所店）,奶茶/果汁,188989519,059343649361170105379968473281275637644_a188989519_c11_e2745027750983486858_nareaid23,23.122781,113.275685
72,1柠1柠檬茶（东湖店）,奶茶/果汁,191086094,059343649361170105379968473281275637644_a191086094_c12_e2745027750983486858_nareaid23,23.118068,113.286418
73,全民果汁（中华广场店）,奶茶/果汁,40502305,059343649361170105379968473281275637644_a40502305_c13_e2745027750983486858_nareaid23,23.126246,113.282875
74,TANING挞柠·匠心柠檬茶（置地大厦店）,奶茶/果汁,191087396,059343649361170105379968473281275637644_a191087396_c14_e2745027750983486858_nareaid23,23.122141,113.283453
75,Garden Cafe,咖啡厅,61452628,059343649361170105379968473281275637644_a61452628_c0_e2745027750983486858_nareaid23,23.133165,113.288271
76,大卡司DAKASI（中华广场店）,奶茶/果汁,98764273,059343649361170105379968473281275637644_a98764273_c1_e2745027750983486858_nareaid23,23.125947,113.282596
77,中心皇冠假日酒店大堂酒廊,咖啡厅,52637728,059343649361170105379968473281275637644_a52637728_c2_e2745027750983486858_nareaid23,23.138407,113.2825
78,JUNKIES有瘾咖啡,咖啡厅,184506507,059343649361170105379968473281275637644_a184506507_c3_e2745027750983486858_nareaid23,23.120019,113.308293
79,happylemon快乐柠檬（流行前线店）,奶茶/果汁,157691358,059343649361170105379968473281275637644_a157691358_c4_e2745027750983486858_nareaid23,23.126365,113.28376
80,唐舞士艺术培训,咖啡厅,1529710,059343649361170105379968473281275637644_a1529710_c5_e2745027750983486858_nareaid23,23.1388,113.312813
81,快乐柠檬（小北路店）,奶茶/果汁,192134465,059343649361170105379968473281275637644_a192134465_c6_e2745027750983486858_nareaid23,23.13668,113.272589
82,新作的茶SUN TEA（中华广场店）,奶茶/果汁,177802996,059343649361170105379968473281275637644_a177802996_c7_e2745027750983486858_nareaid23,23.125452,113.282517
83,太平洋咖啡（世贸友谊店）,咖啡厅,2740158,059343649361170105379968473281275637644_a2740158_c8_e2745027750983486858_nareaid23,23.136784,113.2874
84,猫头鹰·民国洋楼咖啡馆（保安南街店）,咖啡厅,42506993,059343649361170105379968473281275637644_a42506993_c9_e2745027750983486858_nareaid23,23.11993,113.300575
85,太平洋咖啡（白云路店）,咖啡厅,111708174,059343649361170105379968473281275637644_a111708174_c10_e2745027750983486858_nareaid23,23.12008,113.28539
86,TANING挞柠·匠心柠檬茶（小北路店）,奶茶/果汁,179117724,059343649361170105379968473281275637644_a179117724_c11_e2745027750983486858_nareaid23,23.135451,113.271567
87,太平洋咖啡（东照大厦店）,咖啡厅,1162065,059343649361170105379968473281275637644_a1162065_c12_e2745027750983486858_nareaid23,23.131531,113.276431
88,未名咖啡,咖啡厅,5713826,059343649361170105379968473281275637644_a5713826_c13_e2745027750983486858_nareaid23,23.136046,113.292392
89,CREATIVE CAFE科创咖啡（创意大道店）,咖啡厅,164966005,059343649361170105379968473281275637644_a164966005_c14_e2745027750983486858_nareaid23,23.141361,113.296467
90,太平洋咖啡（汇德大厦店）,咖啡厅,1708924,059343649361170105379968473281275637644_a1708924_c0_e7023487437153731253_nareaid23,23.130739,113.274772
91,太平洋咖啡（海港城店）,咖啡厅,5745578,059343649361170105379968473281275637644_a5745578_c1_e7023487437153731253_nareaid23,23.113825,113.28276
92,黎恩凉茶（华乐店）,凉茶,40994687,059343649361170105379968473281275637644_a40994687_c2_e7023487437153731253_nareaid23,23.134164,113.28808
93,蓝风筝咖啡（东川路店）,咖啡厅,150080808,059343649361170105379968473281275637644_a150080808_c3_e7023487437153731253_nareaid23,23.121008,113.28633
94,CoCo都可（市一宫店）,奶茶/果汁,187900661,059343649361170105379968473281275637644_a187900661_c4_e7023487437153731253_nareaid23,23.122123,113.271082
95,TANING挞柠·匠心柠檬茶（桂花岗店）,奶茶/果汁,181312551,059343649361170105379968473281275637644_a181312551_c5_e7023487437153731253_nareaid23,23.149823,113.264269
96,CoCo都可（大马站店）,奶茶/果汁,193796166,059343649361170105379968473281275637644_a193796166_c6_e7023487437153731253_nareaid23,23.125544,113.267619
97,太平洋咖啡（五月花店）,咖啡厅,1530248,059343649361170105379968473281275637644_a1530248_c7_e7023487437153731253_nareaid23,23.125745,113.266356
98,CoCo都可（北京路店）,奶茶/果汁,177696404,059343649361170105379968473281275637644_a177696404_c8_e7023487437153731253_nareaid23,23.119646,113.269771
99,一些柠檬一些茶（北京路店）,奶茶/果汁,175382460,059343649361170105379968473281275637644_a175382460_c9_e7023487437153731253_nareaid23,23.125744,113.267743
100,ASKTEA·问茶 缤纷果茶（北京路光明广场店）,奶茶/果汁,179109152,059343649361170105379968473281275637644_a179109152_c10_e7023487437153731253_nareaid23,23.122474,113.267245
101,喝嘛（景点商业城店）,奶茶/果汁,179676752,059343649361170105379968473281275637644_a179676752_c11_e7023487437153731253_nareaid23,23.125218,113.265289
102,一些柠檬一些茶（北京路步行街店）,奶茶/果汁,179934532,059343649361170105379968473281275637644_a179934532_c12_e7023487437153731253_nareaid23,23.120958,113.266198
103,春阳茶事（北京路店）,奶茶/果汁,192084998,059343649361170105379968473281275637644_a192084998_c13_e7023487437153731253_nareaid23,23.121263,113.266727
104,CoCo都可（北京路步行街店）,奶茶/果汁,182416911,059343649361170105379968473281275637644_a182416911_c14_e7023487437153731253_nareaid23,23.1213,113.268315
105,清心堂草本茶（北京路店）,凉茶,175334661,059343649361170105379968473281275637644_a175334661_c0_e2864207562123307959_nareaid23,23.127347,113.268714
106,CoCo都可（动漫店）,奶茶/果汁,60800181,059343649361170105379968473281275637644_a60800181_c1_e2864207562123307959_nareaid23,23.125776,113.265071
107,香港鸳鸯王（西湖路店）,奶茶/果汁,19214,059343649361170105379968473281275637644_a19214_c2_e2864207562123307959_nareaid23,23.123351,113.266927
108,CoCo都可（动漫二店）,奶茶/果汁,193618099,059343649361170105379968473281275637644_a193618099_c3_e2864207562123307959_nareaid23,23.12573,113.26499
109,橘菓子（动漫店）,奶茶/果汁,1708784,059343649361170105379968473281275637644_a1708784_c4_e2864207562123307959_nareaid23,23.125792,113.264989
110,整个椰子（惠福东路店）,奶茶/果汁,193796788,059343649361170105379968473281275637644_a193796788_c5_e2864207562123307959_nareaid23,23.121599,113.268801
111,TEA DIVA饭团·茶饮,奶茶/果汁,168873753,059343649361170105379968473281275637644_a168873753_c6_e2864207562123307959_nareaid23,23.119645,113.269771
112,黎恩凉茶（北京路店）,凉茶,162818706,059343649361170105379968473281275637644_a162818706_c7_e2864207562123307959_nareaid23,23.120201,113.269202
113,Darling咑柠茶档（北京路旗舰店）,奶茶/果汁,175465767,059343649361170105379968473281275637644_a175465767_c8_e2864207562123307959_nareaid23,23.125306,113.269316
114,CoCo都可（惠福店）,奶茶/果汁,83687585,059343649361170105379968473281275637644_a83687585_c9_e2864207562123307959_nareaid23,23.121061,113.26666
115,全民果汁（北京路仰忠汇店）,奶茶/果汁,112291194,059343649361170105379968473281275637644_a112291194_c10_e2864207562123307959_nareaid23,23.119645,113.269771
116,新作の茶SUN·TEA（北京路店）,奶茶/果汁,174914198,059343649361170105379968473281275637644_a174914198_c11_e2864207562123307959_nareaid23,23.123262,113.266992
117,鲜茶道MOLYTEA（解放北路店）,奶茶/果汁,105919570,059343649361170105379968473281275637644_a105919570_c12_e2864207562123307959_nareaid23,23.137148,113.261594
118,新作の茶 SUN TEA（惠福东路店）,奶茶/果汁,193641027,059343649361170105379968473281275637644_a193641027_c13_e2864207562123307959_nareaid23,23.121156,113.267685
119,茶颜观色（粤海仰忠汇店）,奶茶/果汁,182585705,059343649361170105379968473281275637644_a182585705_c14_e2864207562123307959_nareaid23,23.119408,113.269854
120,1柠1柠檬茶 （解放南店）,奶茶/果汁,192997635,059343649361170105379968473281275637644_a192997635_c0_e8833777667332379296_nareaid23,23.117453,113.262272
121,扭扭柠柠（北京路店）,奶茶/果汁,168999892,059343649361170105379968473281275637644_a168999892_c1_e8833777667332379296_nareaid23,23.119238,113.269895
122,TANING挞柠·匠心柠檬茶（文明路店）,奶茶/果汁,193627015,059343649361170105379968473281275637644_a193627015_c2_e8833777667332379296_nareaid23,23.122527,113.270772
123,WETEA茶室,奶茶/果汁,187654141,059343649361170105379968473281275637644_a187654141_c3_e8833777667332379296_nareaid23,23.123453,113.272092
124,TANING挞柠匠心柠檬茶（西华路店）,奶茶/果汁,177406476,059343649361170105379968473281275637644_a177406476_c4_e8833777667332379296_nareaid23,23.129929,113.251584
125,TANING挞柠·柠檬茶（动漫星城店）,奶茶/果汁,177937738,059343649361170105379968473281275637644_a177937738_c5_e8833777667332379296_nareaid23,23.125783,113.263728
126,Pappa Roti 帕帕罗蒂（万菱广场店）,西餐,4557150,059343649361170105379968473281275637644_a4557150_c6_e8833777667332379296_nareaid23,23.11451,113.26272
127,新作の茶SUN TEA（中酒店）,奶茶/果汁,188457888,059343649361170105379968473281275637644_a188457888_c7_e8833777667332379296_nareaid23,23.140268,113.260161
128,茶优语,奶茶/果汁,187733086,059343649361170105379968473281275637644_a187733086_c8_e8833777667332379296_nareaid23,23.125413,113.25677
129,全民果汁（西湖路店）,奶茶/果汁,154959661,059343649361170105379968473281275637644_a154959661_c9_e8833777667332379296_nareaid23,23.12326,113.267542
130,黑泷堂,奶茶/果汁,169470583,059343649361170105379968473281275637644_a169470583_c10_e8833777667332379296_nareaid23,23.122938,113.265635
131,黎恩凉茶（广卫路店）,凉茶,42187182,059343649361170105379968473281275637644_a42187182_c11_e8833777667332379296_nareaid23,23.127194,113.265623
132,木上缤菓（北京路店）,冰淇淋,166015644,059343649361170105379968473281275637644_a166015644_c12_e8833777667332379296_nareaid23,23.119375,113.269824
133,漫UU咖啡MANUU,咖啡厅,181502181,059343649361170105379968473281275637644_a181502181_c13_e8833777667332379296_nareaid23,23.119613,113.27006
134,黎恩凉茶（大南店）,凉茶,179936839,059343649361170105379968473281275637644_a179936839_c14_e8833777667332379296_nareaid23,23.120368,113.267945
135,Darling咑柠茶档（天河城百货店）,奶茶/果汁,173545683,059343649361170105379968473281275637644_a173545683_c0_e1012513836062908843_nareaid23,23.123742,113.269157
136,太平洋咖啡（解放北路店）,咖啡厅,178858917,059343649361170105379968473281275637644_a178858917_c1_e1012513836062908843_nareaid23,23.136857,113.262053
137,红茶馆,奶茶/果汁,178833887,059343649361170105379968473281275637644_a178833887_c2_e1012513836062908843_nareaid23,23.119601,113.270047
138,大卡司（光明广场店）,奶茶/果汁,6156096,059343649361170105379968473281275637644_a6156096_c3_e1012513836062908843_nareaid23,23.122092,113.26718
139,Hitea茶室（文德路店）,奶茶/果汁,177479021,059343649361170105379968473281275637644_a177479021_c4_e1012513836062908843_nareaid23,23.12484,113.272779
140,一只酸奶牛（北京路店）,奶茶/果汁,160111753,059343649361170105379968473281275637644_a160111753_c5_e1012513836062908843_nareaid23,23.121551,113.269174
141,一些柠檬一些茶（百灵路店）,奶茶/果汁,179261654,059343649361170105379968473281275637644_a179261654_c6_e1012513836062908843_nareaid23,23.13061,113.259369
142,大葱柠檬茶scallionlemontea（西华路店）,奶茶/果汁,163979654,059343649361170105379968473281275637644_a163979654_c7_e1012513836062908843_nareaid23,23.129536,113.253526
143,Mimo米莫的茶,奶茶/果汁,180759600,059343649361170105379968473281275637644_a180759600_c8_e1012513836062908843_nareaid23,23.141902,113.257624
144,一些柠檬一些茶（西华路店）,奶茶/果汁,165441891,059343649361170105379968473281275637644_a165441891_c9_e1012513836062908843_nareaid23,23.13004,113.251449
145,CoCo都可（大北店）,奶茶/果汁,159885258,059343649361170105379968473281275637644_a159885258_c10_e1012513836062908843_nareaid23,23.131061,113.261302
146,么咪喵猫主题咖啡,咖啡厅,42682665,059343649361170105379968473281275637644_a42682665_c11_e1012513836062908843_nareaid23,23.120343,113.267944
147,黎恩凉茶（净慧路店）,凉茶,179448631,059343649361170105379968473281275637644_a179448631_c12_e1012513836062908843_nareaid23,23.129762,113.258389
148,太平洋咖啡Pacific Coffee（东风西店）,咖啡厅,90872962,059343649361170105379968473281275637644_a90872962_c13_e1012513836062908843_nareaid23,23.13263,113.251992
149,快乐柠檬（景点一店）,奶茶/果汁,97320065,059343649361170105379968473281275637644_a97320065_c14_e1012513836062908843_nareaid23,23.1254,113.26714
150,壹柒零-台湾冬瓜奶茶（文明路店）,奶茶/果汁,158747034,059343649361170105379968473281275637644_a158747034_c0_e7896067954891910992_nareaid23,23.122143,113.270739
151,联合书店·UN Bookcafe（北京路店）,咖啡厅,5856952,059343649361170105379968473281275637644_a5856952_c1_e7896067954891910992_nareaid23,23.124766,113.269011
152,佳琳荟（粤海仰忠汇店）,饮品店,184510847,059343649361170105379968473281275637644_a184510847_c2_e7896067954891910992_nareaid23,23.119607,113.270033
153,黎恩凉茶（惠福西路店）,凉茶,4908132,059343649361170105379968473281275637644_a4908132_c3_e7896067954891910992_nareaid23,23.119888,113.260621
154,太平洋咖啡（大德路店）,咖啡厅,82810709,059343649361170105379968473281275637644_a82810709_c4_e7896067954891910992_nareaid23,23.117496,113.257083
155,太平洋咖啡（西门口店）,咖啡厅,1709678,059343649361170105379968473281275637644_a1709678_c5_e7896067954891910992_nareaid23,23.12559,113.25267
156,R.C.C.—红咖啡特饮,咖啡厅,165434713,059343649361170105379968473281275637644_a165434713_c6_e7896067954891910992_nareaid23,23.137344,113.28817
157,皇茶宇治抹茶（仰忠汇店）,奶茶/果汁,92880731,059343649361170105379968473281275637644_a92880731_c7_e7896067954891910992_nareaid23,23.119626,113.270187
158,月照心舍,咖啡厅,185547284,059343649361170105379968473281275637644_a185547284_c8_e7896067954891910992_nareaid23,23.113911,113.29137
159,TVB港式奶茶,奶茶/果汁,165242237,059343649361170105379968473281275637644_a165242237_c9_e7896067954891910992_nareaid23,23.12576,113.264989
160,大卡司（海珠广场店）,奶茶/果汁,6117257,059343649361170105379968473281275637644_a6117257_c10_e7896067954891910992_nareaid23,23.115376,113.264856
161,独品Addicted Lab（光明广场店）,咖啡厅,190476389,059343649361170105379968473281275637644_a190476389_c11_e7896067954891910992_nareaid23,23.122256,113.267357
162,猫住hide&seek·猫咖生活馆,咖啡厅,168929102,059343649361170105379968473281275637644_a168929102_c12_e7896067954891910992_nareaid23,23.12086,113.312753
163,猫屎咖啡（淘金店）,咖啡厅,41836194,059343649361170105379968473281275637644_a41836194_c13_e7896067954891910992_nareaid23,23.139238,113.287559
164,贡茶（广州电影院店）,奶茶/果汁,65462299,059343649361170105379968473281275637644_a65462299_c14_e7896067954891910992_nareaid23,23.10839,113.25447
165,HUNCHA（东山口店）,咖啡厅,159078822,059343649361170105379968473281275637644_a159078822_c0_e401125840076909611_nareaid23,23.117527,113.298307
