店铺名字,类别,纬度,经度
TANING挞柠·匠心柠檬茶（水荫路店）,奶茶/果汁,23.136219,113.30932
CoCo都可（水茵店）,奶茶/果汁,23.13654,113.30921
猫主题餐厅·就是这样的喵（越秀店）,咖啡厅,23.121164,113.266229
本宫的茶（289艺术园店）,奶茶/果汁,23.123674,113.314119
CoCo都可（中山一路店）,奶茶/果汁,23.128667,113.312378
TANING挞柠·匠心柠檬茶（杨箕店）,奶茶/果汁,23.128279,113.308034
一些柠檬一些茶（东华东店）,奶茶/果汁,23.12152,113.288811
COFFii & JOY咖啡（白云宾馆店）,咖啡厅,23.137474,113.286103
大佬峰巴士（中华广场店）,奶茶/果汁,23.126348,113.282741
新作的茶 SUN TEA（杨箕店）,奶茶/果汁,23.126716,113.313532
饮野,奶茶/果汁,23.134994,113.270573
茶茶语茶,奶茶/果汁,23.13429,113.287508
萌爪研究所·布偶主题猫咖,咖啡厅,23.115957,113.26725
一些柠檬一些茶（中华广场店）,奶茶/果汁,23.123717,113.283394
Hi-Tea茶室（289创意园店）,奶茶/果汁,23.123612,113.314288
CoCo都可（杨箕店）,奶茶/果汁,23.13153,113.308016
TANING挞柠（五羊新城店）,奶茶/果汁,23.120649,113.314327
TANING挞柠（光明广场店）,奶茶/果汁,23.122938,113.267192
CoCo都可（五羊店）,奶茶/果汁,23.120053,113.309776
DQ（中华广场店）,冰淇淋,23.126312,113.282791
CoCo都可（五羊二店）,奶茶/果汁,23.118503,113.30992
猫出没（中山三路店）,咖啡厅,23.127454,113.285602
苏子·法式咖啡厅·花房美学院,咖啡厅,23.124291,113.31251
CoCo都可（区庄店）,奶茶/果汁,23.136285,113.293937
BAUZES百滋·甘草水果（五羊店）,奶茶/果汁,23.119425,113.313116
CoCo都可（东山二店）,奶茶/果汁,23.129183,113.297118
悟茶（杨箕店）,奶茶/果汁,23.126685,113.312669
悦咖.精品咖啡屋（信德店）,咖啡厅,23.126519,113.271456
CoCo都可（东山店）,奶茶/果汁,23.125305,113.295556
咕噜咕噜（中山四路店）,奶茶/果汁,23.12658,113.2736
CoCo都可（淘金店）,奶茶/果汁,23.139994,113.288046
los pasteles,奶茶/果汁,23.125811,113.313751
Glory Coffee 荣光咖啡,咖啡厅,23.122035,113.312613
CoCo都可（第七中学店）,奶茶/果汁,23.12111,113.296653
熹雀冰室（共和大街店）,奶茶/果汁,23.124687,113.306728
CoCo都可（署前店）,奶茶/果汁,23.122029,113.294651
桃记,奶茶/果汁,23.14211,113.277575
Catmate·猫肥家润,咖啡厅,23.119007,113.272689
CoCo都可（地王广场店）,奶茶/果汁,23.12612,113.283886
TANING挞柠·柠檬茶（区庄店）,奶茶/果汁,23.13485,113.29551
Miss Tea茶小姐（华乐路店）,奶茶/果汁,23.133906,113.288256
橘菓子（中华广场店）,奶茶/果汁,23.126456,113.282682
阿橙姐·鲜打果汁,饮品店,23.140317,113.288269
montea檬茶（中山四路店）,奶茶/果汁,23.126128,113.27351
半里Mocha甜厨,咖啡厅,23.125405,113.29582
太平洋咖啡（寺右新马路店）,咖啡厅,23.119522,113.308858
茶掂·TG（东华西路店）,奶茶/果汁,23.122043,113.279884
PlaySERIOUS Cafe·逵园,咖啡厅,23.11918,113.29646
MAXPOINT Cafe,咖啡厅,23.137294,113.287185
Darling咑柠茶档（白云路店）,奶茶/果汁,23.11949,113.281667
HappyMeet（地王广场店）,饮品店,23.125776,113.283516
TANING挞柠·匠心柠檬茶（建设六马路店）,奶茶/果汁,23.134376,113.285038
