,店铺名字,类别,poiid,ctPoi,经度,纬度
0,TANING挞柠·匠心柠檬茶（水荫路店）,奶茶/果汁,180584081,032993311645349738152990596470664416460_a180584081_c0_e8508656188327723327_nareaid23,23.136219,113.30932
1,Hi-Tea茶室（289创意园店）,奶茶/果汁,158811806,032993311645349738152990596470664416460_a158811806_c1_e8508656188327723327_nareaid23,23.123612,113.314288
2,猫主题餐厅·就是这样的喵（越秀店）,咖啡厅,90908955,208989975020988530791184858603322713313_a90908955_c2_e8508656188327723327_v4730026450968826018__138_nareaid23,23.121164,113.266229
3,新作的茶 SUN TEA（杨箕店）,奶茶/果汁,170629803,032993311645349738152990596470664416460_a170629803_c3_e8508656188327723327_nareaid23,23.126716,113.313532
4,Glory Coffee 荣光咖啡,咖啡厅,195569374,032993311645349738152990596470664416460_a195569374_c4_e8508656188327723327_nareaid23,23.122035,113.312613
5,悟茶（杨箕店）,奶茶/果汁,174894170,032993311645349738152990596470664416460_a174894170_c5_e8508656188327723327_nareaid23,23.126685,113.312669
6,TANING挞柠·匠心柠檬茶（杨箕店）,奶茶/果汁,189690773,032993311645349738152990596470664416460_a189690773_c6_e8508656188327723327_nareaid23,23.128279,113.308034
7,TANING挞柠（光明广场店）,奶茶/果汁,1891285900,208989975020988530791184858603322713313_a1891285900_c7_e8508656188327723327_v4730026450968826018__222_nareaid23,23.122938,113.267192
8,熹雀冰室（共和大街店）,奶茶/果汁,164893924,032993311645349738152990596470664416460_a164893924_c8_e8508656188327723327_nareaid23,23.124687,113.306728
9,CREATIVE CAFE科创咖啡（创意大道店）,咖啡厅,164966005,032993311645349738152990596470664416460_a164966005_c9_e8508656188327723327_nareaid23,23.141361,113.296467
10,ASKTEA·问茶（淘金店）,奶茶/果汁,193166592,032993311645349738152990596470664416460_a193166592_c10_e8508656188327723327_nareaid23,23.138851,113.287895
11,CoCo都可（水茵店）,奶茶/果汁,159535375,032993311645349738152990596470664416460_a159535375_c11_e8508656188327723327_nareaid23,23.13654,113.30921
12,萌爪研究所·布偶主题猫咖,咖啡厅,195919685,208989975020988530791184858603322713313_a195919685_c12_e8508656188327723327_v4730026450968826018__207_nareaid23,23.115957,113.26725
13,新作の茶（东山口店）,奶茶/果汁,184612288,032993311645349738152990596470664416460_a184612288_c13_e8508656188327723327_nareaid23,23.125367,113.295818
14,愿茶（杨箕店）,奶茶/果汁,174858478,032993311645349738152990596470664416460_a174858478_c14_e8508656188327723327_nareaid23,23.126295,113.313234
15,大卡司DAKASI（中华广场店）,奶茶/果汁,98764273,032993311645349738152990596470664416460_a98764273_c0_e8508656188327723327_nareaid23,23.125947,113.282596
16,CoCo都可（中山一路店）,奶茶/果汁,194273609,032993311645349738152990596470664416460_a194273609_c1_e8508656188327723327_nareaid23,23.128667,113.312378
17,COFFii & JOY咖啡（白云宾馆店）,咖啡厅,192771332,208989975020988530791184858603322713313_a192771332_c2_e8508656188327723327_v4730026459240018353__1000_nareaid23,23.137474,113.286103
18,本宫的茶（289艺术园店）,奶茶/果汁,93883380,032993311645349738152990596470664416460_a93883380_c3_e8508656188327723327_nareaid23,23.123674,113.314119
19,O tea,饮品店,157179418,032993311645349738152990596470664416460_a157179418_c4_e8508656188327723327_nareaid23,23.135846,113.306536
20,TANING挞柠（五羊新城店）,奶茶/果汁,181312151,032993311645349738152990596470664416460_a181312151_c5_e8508656188327723327_nareaid23,23.120649,113.314327
