店铺名字,类别,id,月销售,经度,纬度
易比乐饮品,奶茶果汁,E17461064966651048874,41,112.826318,22.994936
可可贡茶,奶茶果汁,E17844488147049285709,173,112.827449,22.995623
TANING·挞柠柠檬茶(荷城广场店),奶茶果汁,E3465927718361879505,1600,112.878681,22.895973
夏日午后茶饮,奶茶果汁,E3466580228398177931,39,112.854526,23.047032
龍茶奶茶炸鸡汉堡店,奶茶果汁,E7022341774342931331,88,112.860993,23.11141
醇味果茶,奶茶果汁,E315443492842694977,21,112.863806,22.889677
平安堂,奶茶果汁,E69461365418075321,1,112.863091,22.894799
J.TEA聚茶,奶茶果汁,E11994404031735433954,282,112.878797,22.894873
1314一杯会说话的茶,奶茶果汁,E16567212225702141867,40,112.861442,22.894193
优茶师鲜果茶,奶茶果汁,E14953084093742422136,354,112.883671,22.893633
豆茶吧,奶茶果汁,E1736841211246355929,40,112.84694,23.06391
玻璃屋,奶茶果汁,E15508592417534663210,451,112.84883,23.204726
库玛茶,奶茶果汁,E7193041001447342788,16,112.886099,22.892213
茶糊口,奶茶果汁,E13049260010260017073,65,112.880897,22.8904
大口九芝士茶(大口九河江分店),奶茶果汁,E391651166325420798,390,112.861303,22.892624
皇茶新世纪,奶茶果汁,E1220866111308694962,456,112.886069,22.89411
等茶来,奶茶果汁,E1828839838308368658,1022,112.886853,22.892264
禧御贡茶(东华路店),奶茶果汁,E18402795707389762278,167,112.884817,22.893848
GONGCHA贡茶,奶茶果汁,E8377889946015503762,134,112.872867,22.893718
匠制素茶,奶茶果汁,E2004432680215538657,132,112.883666,22.893079
37度贰,奶茶果汁,E14589403231537871745,97,112.8773964,22.90347955
一方果茶,奶茶果汁,E12094176334527609156,23,112.882021,22.888863
鹿角巷THE.ALLEY,奶茶果汁,E10491182399384905668,48,112.878737,22.89498
佰姑.鲜榨果汁休闲茶饮,奶茶果汁,E17547426734455301470,38,112.885539,22.896509
KACHA咔茶,奶茶果汁,E139553082195010143,35,112.88676,22.894521
饮得爽茶饮,奶茶果汁,E3514648253834240602,40,112.887637,22.887953
BinGo缤果奶茶,奶茶果汁,E5344106625905465558,13,112.876967,22.897529
台式创茶,奶茶果汁,E10598082165893533033,1,112.855278,22.898352
之茶,奶茶果汁,E3646270788462108574,61,112.88241,22.889684
茶心思奶茶店,奶茶果汁,E1749810574308779452,62,112.886533,22.895415
贡茶茶记大咖,奶茶果汁,E18087689266818194276,9,112.875698,22.901667
三人哘饮品店,奶茶果汁,E12552608192032892120,6,112.887029,22.890009
金葫芦凉茶（佛山高明店）,奶茶果汁,E18328197235109563386,0,112.876205,22.89792
森溪凉茶,奶茶果汁,E6570738386383510219,5,112.878134,22.896232
皇茶,奶茶果汁,E14652090942438485776,0,112.893655,22.886531
喜乐品,奶茶果汁,E15740946321790670905,24,112.876873,22.90139
royaltea皇茶,奶茶果汁,E11103106307691243676,1,112.877232,22.895841
皇茶,奶茶果汁,E1697786223123201774,0,112.86228,22.894524
优茶,奶茶果汁,E8566881768446365969,1418,112.883729,22.893625
澳门皇茶MacaolmperialTea(御景店),奶茶果汁,E4757567149319316830,65,112.877048,22.89569
快乐番薯(三水恒福店),奶茶果汁,E502080672271455602,211,112.891357,23.156897
CoCo都可（三水新动力店）,奶茶果汁,E8698515151432256107,303,112.867031,23.172907
皇茶(新动力广场店),奶茶果汁,E6464287705625405947,146,112.868824,23.172211
茶寄,奶茶果汁,E11881501395836289005,354,112.89115,23.157081
谷芋(恒福广场店),奶茶果汁,E18026971532757723536,99,112.890771,23.156923
三熊主义奶茶店,奶茶果汁,E15180540388930551412,15,112.869195,23.172455
笑颜回,奶茶果汁,E2320510894851965930,6,112.891061,23.157405
库玛茶(三水新动力店),奶茶果汁,E10686242316591628514,0,112.867639,23.172065
布拉品奶茶连锁店,奶茶果汁,E12840845534137928235,70,112.890539,23.15604
佰道茶饮,奶茶果汁,E9199817159515256236,2,112.900383,23.160509
小小时光茶饮店,奶茶果汁,E241305592151408172,1,112.857637,23.169852
冯先生小食店,奶茶果汁,E18228497418718909304,15,112.902493,23.150966
huangtea皇茶,奶茶果汁,E17621160276040650408,10,112.884664,22.889556
贡茶茶思语·炸鸡汉堡(高丰店),奶茶果汁,E8172240714082356211,25,112.902367,22.884057
一些柠檬一些茶,奶茶果汁,E9064004287003448759,0,112.889518,22.892467
Royaltea皇茶(金沙店),奶茶果汁,E15210790926069020422,45,112.922285,23.108007
茶颜山(广海大道西店),奶茶果汁,E2851499334543211908,83,112.883816,23.170348
果度,奶茶果汁,E9755431459029016013,30,112.898886,23.165343
拼茶,奶茶果汁,E1145342051545450996,13,112.889983,23.153348
乌铁茶集(三水店),奶茶果汁,E16241163803753206406,29,112.891238,23.157641
鹿角巷TheAlley(三水万达广场店),奶茶果汁,E4821278770930486835,47,112.904578,23.177658
一夫茶(三水万达广场店),奶茶果汁,E5265873424323979920,42,112.905021,23.1769327
1314茶(三水万达店),奶茶果汁,E9593983506496001479,36,112.90503,23.177899
LPXTEA皇茶(三水万达店),奶茶果汁,E7205045103276755644,38,112.902956,23.177689
奉茶,奶茶果汁,E371263540741737139,12,112.904208,23.177946
Sweetheart,奶茶果汁,E6900835670783926283,21,112.900566,23.160567
一盏茶,奶茶果汁,E7530904068760212610,243,112.89086,23.153833
牵思小馆,奶茶果汁,E15516649776271482784,0,112.90575,23.163694
琉璃鲸,奶茶果汁,E8056272829826593114,37,112.905098,23.178114
龍福贡茶,奶茶果汁,E11579607030958620739,35,112.905673,23.16553
吉时茶饮店,奶茶果汁,E4708274867679487573,14,112.904761,23.177951
乌泷茶(三水万达店),奶茶果汁,E3517624202685245595,6,112.904004,23.176674
有嘢饮,奶茶果汁,E10601526573457171951,1,112.894297,23.161667
鲜滋味美食饮品(丹灶店),奶茶果汁,E11644028794021195297,70,112.912709,23.042676
梵茶,奶茶果汁,E11378054701824988700,10,112.91786,23.208223
膳匠咖啡牛扒,奶茶果汁,E8774551707171212971,2,112.914413,23.038218
热力咖啡,奶茶果汁,E3614633207243985945,6,112.938145,23.273437
Gotcha贡茶,奶茶果汁,E3304882791636521050,123,113.01462,22.841457
royaltea皇茶新世纪,奶茶果汁,E17763529918660688466,76,112.982582,22.950397
GONGCHA(恒邦广场店),奶茶果汁,E13852922764357778326,41,112.972135,22.961319
CoCo都可(万民广场店),奶茶果汁,E9541246222849345486,568,112.985727,23.088056
萌莱客奶茶特色鱼粉,奶茶果汁,E8513238846218490336,44,112.962752,23.135352
DRINKCHA尊茶,奶茶果汁,E14077759036415900683,61,112.989112,23.173273
贡茶,奶茶果汁,E10751599493549253108,76,112.985296,23.171564
