店铺名字,类别,月销售,经度,纬度,
易比乐饮品,奶茶果汁,41,112.826318,22.994936,
可可贡茶,奶茶果汁,173,112.827449,22.995623,
TANING·挞柠柠檬茶(荷城广场店),奶茶果汁,1600,112.878681,22.895973,
夏日午后茶饮,奶茶果汁,39,112.854526,23.047032,
龍茶奶茶炸鸡汉堡店,奶茶果汁,88,112.860993,23.11141,
醇味果茶,奶茶果汁,21,112.863806,22.889677,
平安堂,奶茶果汁,1,112.863091,22.894799,
J.TEA聚茶,奶茶果汁,282,112.878797,22.894873,
1314一杯会说话的茶,奶茶果汁,40,112.861442,22.894193,
优茶师鲜果茶,奶茶果汁,354,112.883671,22.893633,
豆茶吧,奶茶果汁,40,112.84694,23.06391,
玻璃屋,奶茶果汁,451,112.84883,23.204726,
库玛茶,奶茶果汁,16,112.886099,22.892213,
茶糊口,奶茶果汁,65,112.880897,22.8904,
大口九芝士茶(大口九河江分店),奶茶果汁,390,112.861303,22.892624,
皇茶新世纪,奶茶果汁,456,112.886069,22.89411,
等茶来,奶茶果汁,1022,112.886853,22.892264,
禧御贡茶(东华路店),奶茶果汁,167,112.884817,22.893848,
GONGCHA贡茶,奶茶果汁,134,112.872867,22.893718,
匠制素茶,奶茶果汁,132,112.883666,22.893079,
37度贰,奶茶果汁,97,112.8773964,22.90347955,
一方果茶,奶茶果汁,23,112.882021,22.888863,
鹿角巷THE.ALLEY,奶茶果汁,48,112.878737,22.89498,
佰姑.鲜榨果汁休闲茶饮,奶茶果汁,38,112.885539,22.896509,
KACHA咔茶,奶茶果汁,35,112.88676,22.894521,
饮得爽茶饮,奶茶果汁,40,112.887637,22.887953,
BinGo缤果奶茶,奶茶果汁,13,112.876967,22.897529,
台式创茶,奶茶果汁,1,112.855278,22.898352,
之茶,奶茶果汁,61,112.88241,22.889684,
茶心思奶茶店,奶茶果汁,62,112.886533,22.895415,
贡茶茶记大咖,奶茶果汁,9,112.875698,22.901667,
三人哘饮品店,奶茶果汁,6,112.887029,22.890009,
金葫芦凉茶（佛山高明店）,奶茶果汁,0,112.876205,22.89792,
森溪凉茶,奶茶果汁,5,112.878134,22.896232,
皇茶,奶茶果汁,0,112.893655,22.886531,
喜乐品,奶茶果汁,24,112.876873,22.90139,
royaltea皇茶,奶茶果汁,1,112.877232,22.895841,
皇茶,奶茶果汁,0,112.86228,22.894524,
优茶,奶茶果汁,1418,112.883729,22.893625,
澳门皇茶MacaolmperialTea(御景店),奶茶果汁,65,112.877048,22.89569,
快乐番薯(三水恒福店),奶茶果汁,211,112.891357,23.156897,
CoCo都可（三水新动力店）,奶茶果汁,303,112.867031,23.172907,
皇茶(新动力广场店),奶茶果汁,146,112.868824,23.172211,
茶寄,奶茶果汁,354,112.89115,23.157081,
谷芋(恒福广场店),奶茶果汁,99,112.890771,23.156923,
三熊主义奶茶店,奶茶果汁,15,112.869195,23.172455,
笑颜回,奶茶果汁,6,112.891061,23.157405,
库玛茶(三水新动力店),奶茶果汁,0,112.867639,23.172065,
布拉品奶茶连锁店,奶茶果汁,70,112.890539,23.15604,
佰道茶饮,奶茶果汁,2,112.900383,23.160509,
小小时光茶饮店,奶茶果汁,1,112.857637,23.169852,
冯先生小食店,奶茶果汁,15,112.902493,23.150966,
huangtea皇茶,奶茶果汁,10,112.884664,22.889556,
